OBJECTID;NOM_ARRET;LIGNE;DIRECTION;NUMERIQUE_ARRET;LETTRE_DE_QUAI;SLOID;ORIENTATION_COMPASS;E;N
143;Genève, Grottes;08;08 (08 (Veyrier, douane));GROT00;V;ch:1:sloid:92834:0:870549;144;2499629.49;1118707.84
144;Genève, Délices;09;09 (09 (Thônex, Belle-Terre Pl. Araire));DELC03;J;ch:1:sloid:92816:0:321692;68;2499145.61;1117926.56
145;Thônex, Belle-Terre Pl. Araire;09;09 (09 (Vernier, Lignon-Tours));BTPA02;X;ch:1:sloid:9321:0:714096;;2505820.23;1117922.79
146;Genève, Musée Voltaire;09;09 (09 (Vernier, Lignon-Tours));MUVO00;E;ch:1:sloid:92869:0:870729;225;2499279.11;1118118.79
147;Chêne-Bourg, Petit-Bel-Air;09,01;09,01 (09 (Thônex, Belle-Terre Pl. Araire),01 (Thônex, Hôpital Trois-Chêne));PBAL03;D;ch:1:sloid:92711:0:760882;110;2504733;1117610.92
148;Cologny, Clos du Môlan;09,01;09,01 (09 (Vernier, Lignon-Tours),01 (Genève, Jardin Botanique));CMOL00;E;ch:1:sloid:92743:0:36609;284;2503118.39;1117875.02
149;Chêne-Bougeries,Ch.de l'Eperon;09,01;09,01 (09 (Vernier, Lignon-Tours),01 (Genève, Jardin Botanique));CEPR00;G;ch:1:sloid:92703:0:70964;313;2503373.97;1117756.36
150;Chêne-Bougeries, Castan;09,01;09,01 (09 (Thônex, Belle-Terre Pl. Araire),01 (Thônex, Hôpital Trois-Chêne));CAST01;U;ch:1:sloid:92693:0:534128;67;2504149.91;1117958.68
151;Chêne-Bourg, Petit-Bel-Air;09,01;09,01 (09 (Vernier, Lignon-Tours),01 (Genève, Jardin Botanique));PBAL00;C;ch:1:sloid:92711:0:37662;303;2504703.96;1117655.72
152;Chêne-Bougeries, Castan;09,01;09,01 (09 (Vernier, Lignon-Tours),01 (Genève, Jardin Botanique));CAST00;T;ch:1:sloid:92693:0:737957;247;2504102.62;1117951.25
153;Chêne-Bougeries, Coq-d'Inde;09,01;09,01 (09 (Vernier, Lignon-Tours),01 (Genève, Jardin Botanique));INDE00;V;ch:1:sloid:92705:0:980258;243;2503893.23;1117853.76
154;Chêne-Bougeries, Fourches;09,01;09,01 (09 (Thônex, Belle-Terre Pl. Araire),01 (Thônex, Hôpital Trois-Chêne));FOUR01;J;ch:1:sloid:92695:0:321913;63;2503656.21;1117731.48
155;Cologny, Clos du Môlan;09,01;09,01 (09 (Thônex, Belle-Terre Pl. Araire),01 (Thônex, Hôpital Trois-Chêne));CMOL01;F;ch:1:sloid:92743:0:332318;105;2503157.97;1117852.21
156;Chêne-Bougeries, Fourches;09,01;09,01 (09 (Vernier, Lignon-Tours),01 (Genève, Jardin Botanique));FOUR00;I;ch:1:sloid:92695:0:288294;243;2503717.92;1117770.67
157;Chêne-Bougeries,Ch.de l'Eperon;09,01;09,01 (09 (Thônex, Belle-Terre Pl. Araire),01 (Thônex, Hôpital Trois-Chêne));CEPR01;H;ch:1:sloid:92703:0:847011;132;2503422.52;1117695.39
158;Chêne-Bougeries, Coq-d'Inde;09,01;09,01 (09 (Thônex, Belle-Terre Pl. Araire),01 (Thônex, Hôpital Trois-Chêne));INDE01;W;ch:1:sloid:92705:0:376294;63;2503952.7;1117872.43
159;Genève, Rive;09,25;09,25 (09 (Thônex, Belle-Terre Pl. Araire),25 (Thônex, Vallard));RIVE11;K;ch:1:sloid:87061:0:202187;106;2500812.85;1117632.84
160;Genève, Place des Eaux-Vives;09,25;09,25 (09 (Thônex, Belle-Terre Pl. Araire),25 (Thônex, Vallard));PLEV01;P;ch:1:sloid:92883:0:827592;106;2500983.94;1117578
161;Genève-Eaux-Vives, gare/Bloch;09,33,A,C1,01;09,33,A,C1,01 (09 (Thônex, Belle-Terre Pl. Araire),33 (Puplinge, Marquis),A (Gy, temple),C1 (Collonge-Bellerive, Bois-Caran),01 (Thônex, Hôpital Trois-Chêne));GEVB01;E;ch:1:sloid:92865:0:374641;63;2501794.78;1117632.93
162;Genève-Eaux-Vives, gare/Bloch;09,33,A,C1,01;09,33,A,C1,01 (09 (Vernier, Lignon-Tours),33 (Genève, Rive),A (Genève, Rive),C1 (Genève, Place des Eaux-Vives),01 (Genève, Jardin Botanique));GEVB00;F;ch:1:sloid:92865:0:247713;244;2501781.18;1117641.36
163;Cologny, Pré-Picot;09,33,A,C1,01;09,33,A,C1,01 (09 (Vernier, Lignon-Tours),33 (Genève, Rive),A (Genève, Rive),C1 (Genève, Place des Eaux-Vives),01 (Genève, Jardin Botanique));PRPI01;P;ch:1:sloid:7355:0:778071;280;2502474.32;1117726.87
164;Chêne-Bougeries, Gradelle;09,33,A,C1,01;09,33,A,C1,01 (09 (Vernier, Lignon-Tours),33 (Genève, Rive),A (Genève, Rive),C1 (Genève, Place des Eaux-Vives),01 (Genève, Jardin Botanique));GRDL06;B;ch:1:sloid:87384:0:798256;289;2502883.4;1117840.8
165;Chêne-Bougeries, Gradelle;09,33,A,C1,01;09,33,A,C1,01 (09 (Thônex, Belle-Terre Pl. Araire),33 (Puplinge, Marquis),A (Gy, temple),C1 (Collonge-Bellerive, Bois-Caran),01 (Thônex, Hôpital Trois-Chêne));GRDL07;A;ch:1:sloid:87384:0:503572;337;2502905.1;1117829.2
166;Genève-Eaux-Vives, gare/Vadier;09,33,A,C1,01;09,33,A,C1,01 (09 (Vernier, Lignon-Tours),33 (Genève, Rive),A (Genève, Rive),C1 (Genève, Place des Eaux-Vives),01 (Genève, Jardin Botanique));GEVV02;G;ch:1:sloid:7347:0:757116;230;2502053.07;1117608.25
167;Genève, 31-Décembre;09,33,A,C1,01;09,33,A,C1,01 (09 (Thônex, Belle-Terre Pl. Araire),33 (Puplinge, Marquis),A (Gy, temple),C1 (Collonge-Bellerive, Bois-Caran),01 (Thônex, Hôpital Trois-Chêne));31DC01;N;ch:1:sloid:92773:0:14018;67;2501485.44;1117495.19
1;Thônex, Hôpital Trois-Chêne;01;01 (01 (Genève, Jardin Botanique));HTCH02;C;ch:1:sloid:93113:0:930988;1;2505499.63;1118213.28
2;Genève, Lombard;01;01 (01 (Thônex, Hôpital Trois-Chêne));LOMB00;U;ch:1:sloid:92848:0:173079;45;2500309.69;1116835.36
3;Thônex, Hôpital Trois-Chêne;01;01 (01 (Thônex, Hôpital Trois-Chêne));HTCH03;;ch:1:sloid:93113:0:825253;;2505505.66;1118162.39
4;Genève, Pont-d'Arve;01;01 (01 (Thônex, Hôpital Trois-Chêne));PTAR02;T;ch:1:sloid:92887:0:129244;75;2499984.12;1116778.8
5;Genève, Hôpital;01,05;01,05 (01 (Thônex, Hôpital Trois-Chêne),05 (Thônex, Vallard));HOPI01;K;ch:1:sloid:92837:0:606310;136;2500440.77;1116730.84
6;Genève, Florissant;01,05;01,05 (01 (Genève, Jardin Botanique),05 (Genève-Aéroport, Terminal));FLRI00;S;ch:1:sloid:92824:0:206355;225;2500824.8;1117011.73
7;Genève, Contamines;01,05,08;01,05,08 (01 (Thônex, Hôpital Trois-Chêne),05 (Thônex, Vallard),08 (Grand-Saconnex, Palexpo));CTMI00;Q;ch:1:sloid:92810:0:415101;32;2501015.05;1116906.75
8;Genève, Muséum;01,08;01,08 (01 (Thônex, Hôpital Trois-Chêne),08 (Grand-Saconnex, Palexpo));MUSE00;A;ch:1:sloid:92870:0:468173;286;2501096.66;1117159.02
9;Genève, Tranchées;01,08;01,08 (01 (Genève, Jardin Botanique),08 (Veyrier, douane));TRAN00;F;ch:1:sloid:92912:0:669267;180;2500949.28;1117145.58
10;Genève, Jardin Botanique;01,25;01,25 (01 (Genève, Jardin Botanique),25 (Genève, Jardin Botanique));JARB00;P;ch:1:sloid:92843:0:227328;319;2500386.94;1119915.55
11;Genève, Monthoux;01,25;01,25 (01 (Thônex, Hôpital Trois-Chêne),25 (Thônex, Vallard));MOTU01;V;ch:1:sloid:92866:0:777527;206;2500420.79;1118458.76
12;Genève, Monthoux;01,25;01,25 (01 (Genève, Jardin Botanique),25 (Genève, Jardin Botanique));MOTU00;U;ch:1:sloid:92866:0:412062;112;2500426.43;1118496.27
